country;DB         ;Store ;Last replication;Status
-------;-----------;------;----------------;------
CZ     ;TP-IN-CDB02;002501;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002502;2021-02-26 14:38;     1
CZ     ;TP-IN-CDB02;002503;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002504;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002504;NULL            ;     0
CZ     ;TP-IN-CDB02;002505;2021-02-26 14:51;     1
CZ     ;TP-IN-CDB02;002506;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002507;NULL            ;     0
CZ     ;TP-IN-CDB02;002508;2021-02-26 14:25;     1
CZ     ;TP-IN-CDB02;002509;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002510;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002512;NULL            ;     0
CZ     ;TP-IN-CDB02;002513;2021-02-26 14:40;     1
CZ     ;TP-IN-CDB02;002514;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002515;2021-02-26 14:25;     1
CZ     ;TP-IN-CDB02;002516;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002517;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002518;2021-02-26 14:51;     1
CZ     ;TP-IN-CDB02;002519;2021-02-26 14:45;     1
CZ     ;TP-IN-CDB02;002520;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002521;NULL            ;     0
CZ     ;TP-IN-CDB02;002522;NULL            ;     0
CZ     ;TP-IN-CDB02;002523;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;002524;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002525;2021-02-26 14:36;     1
CZ     ;TP-IN-CDB02;002526;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002527;2021-02-26 14:42;     1
CZ     ;TP-IN-CDB02;002528;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002529;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002530;2021-02-26 14:48;     1
CZ     ;TP-IN-CDB02;002531;2021-02-26 14:51;     1
CZ     ;TP-IN-CDB02;002532;2020-11-27 13:21;     1
CZ     ;TP-IN-CDB02;002533;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002534;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002535;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002536;2021-02-26 14:51;     1
CZ     ;TP-IN-CDB02;002537;2021-02-26 14:48;     1
CZ     ;TP-IN-CDB02;002538;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;002539;2021-02-08 09:01;     1
CZ     ;TP-IN-CDB02;002540;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002541;NULL            ;     0
CZ     ;TP-IN-CDB02;002542;2021-02-26 14:51;     1
CZ     ;TP-IN-CDB02;002543;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002544;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002545;2021-02-26 14:47;     1
CZ     ;TP-IN-CDB02;002546;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002547;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002548;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002549;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002550;2021-02-26 14:49;     1
CZ     ;TP-IN-CDB02;002551;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002552;2021-02-26 14:46;     1
CZ     ;TP-IN-CDB02;002553;NULL            ;     0
CZ     ;TP-IN-CDB02;002554;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002555;2021-02-26 14:51;     1
CZ     ;TP-IN-CDB02;002556;2021-02-26 14:38;     1
CZ     ;TP-IN-CDB02;002557;2021-02-26 14:48;     1
CZ     ;TP-IN-CDB02;002558;2021-02-26 14:46;     1
CZ     ;TP-IN-CDB02;002559;2021-02-26 14:48;     1
CZ     ;TP-IN-CDB02;002560;2021-02-26 14:51;     1
CZ     ;TP-IN-CDB02;002561;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002562;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002563;2021-02-26 14:52;     1
CZ     ;TP-IN-CDB02;002564;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002565;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002566;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002567;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002568;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002569;2021-02-26 14:47;     1
CZ     ;TP-IN-CDB02;002570;2021-02-26 14:46;     1
CZ     ;TP-IN-CDB02;002571;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002572;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002573;2021-02-26 14:52;     1
CZ     ;TP-IN-CDB02;002574;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002575;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002576;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002577;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002578;2021-02-26 14:38;     1
CZ     ;TP-IN-CDB02;002579;2021-02-26 14:49;     1
CZ     ;TP-IN-CDB02;002580;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002581;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002582;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002583;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002584;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002585;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002586;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002587;2021-02-26 14:46;     1
CZ     ;TP-IN-CDB02;002588;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002589;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002590;2021-02-26 14:52;     1
CZ     ;TP-IN-CDB02;002591;2021-02-26 14:51;     1
CZ     ;TP-IN-CDB02;002592;2021-02-26 14:52;     1
CZ     ;TP-IN-CDB02;002593;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002594;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002595;2021-02-26 14:47;     1
CZ     ;TP-IN-CDB02;002596;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002597;2021-02-26 14:47;     1
CZ     ;TP-IN-CDB02;002598;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002599;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002600;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002601;2021-02-26 14:52;     1
CZ     ;TP-IN-CDB02;002602;2021-02-26 14:32;     1
CZ     ;TP-IN-CDB02;002603;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002604;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002605;2021-02-26 14:48;     1
CZ     ;TP-IN-CDB02;002606;2021-02-26 14:27;     1
CZ     ;TP-IN-CDB02;002607;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002608;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002609;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002610;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002611;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002613;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002614;2021-02-26 14:48;     1
CZ     ;TP-IN-CDB02;002615;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002616;2021-02-26 14:52;     1
CZ     ;TP-IN-CDB02;002617;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002618;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002619;2021-02-26 14:49;     1
CZ     ;TP-IN-CDB02;002621;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002622;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002623;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002624;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002625;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002626;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002627;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002629;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002630;2021-02-26 14:51;     1
CZ     ;TP-IN-CDB02;002631;2021-02-26 14:52;     1
CZ     ;TP-IN-CDB02;002632;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002633;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002634;2021-02-26 14:51;     1
CZ     ;TP-IN-CDB02;002635;2021-02-26 14:45;     1
CZ     ;TP-IN-CDB02;002636;2021-02-26 14:51;     1
CZ     ;TP-IN-CDB02;002637;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002638;2021-02-26 14:41;     1
CZ     ;TP-IN-CDB02;002639;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002640;2021-02-26 14:50;     1
CZ     ;TP-IN-CDB02;002642;2021-02-26 14:46;     1
CZ     ;TP-IN-CDB02;002643;2021-02-26 14:41;     1
CZ     ;TP-IN-CDB02;002644;2021-02-26 14:27;     1
CZ     ;TP-IN-CDB02;002645;2021-02-26 14:43;     1
CZ     ;TP-IN-CDB02;002646;2021-02-26 14:43;     1
CZ     ;TP-IN-CDB02;002647;2021-02-26 14:52;     1
CZ     ;TP-IN-CDB02;002648;2021-02-26 14:42;     1
CZ     ;TP-IN-CDB02;002649;2021-02-26 14:42;     1
CZ     ;TP-IN-CDB02;002650;2021-02-26 14:42;     1
CZ     ;TP-IN-CDB02;002651;2021-02-26 14:42;     1
CZ     ;TP-IN-CDB02;002652;2021-02-26 14:25;     1
CZ     ;TP-IN-CDB02;130001;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130002;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130003;2021-02-26 14:36;     1
CZ     ;TP-IN-CDB02;130004;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130005;2021-02-26 14:36;     1
CZ     ;TP-IN-CDB02;130006;2021-02-26 14:47;     1
CZ     ;TP-IN-CDB02;130007;2021-02-26 14:51;     1
CZ     ;TP-IN-CDB02;130008;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130009;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130010;2021-02-26 14:34;     1
CZ     ;TP-IN-CDB02;130011;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130012;2021-02-26 14:36;     1
CZ     ;TP-IN-CDB02;130013;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130015;2021-02-26 14:54;     1
CZ     ;TP-IN-CDB02;130016;2021-02-26 14:36;     1
CZ     ;TP-IN-CDB02;130017;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130036;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130037;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130038;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130039;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130040;2021-02-26 14:36;     1
CZ     ;TP-IN-CDB02;130041;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130042;2021-02-26 14:28;     1
CZ     ;TP-IN-CDB02;130043;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130044;2021-02-26 14:36;     1
CZ     ;TP-IN-CDB02;130045;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130046;2021-02-26 14:34;     1
CZ     ;TP-IN-CDB02;130047;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130048;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130049;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130050;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130051;2021-02-26 14:36;     1
CZ     ;TP-IN-CDB02;130052;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130053;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130054;2021-02-26 14:38;     1
CZ     ;TP-IN-CDB02;130055;2021-02-26 14:38;     1
CZ     ;TP-IN-CDB02;130056;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130057;2021-02-26 14:36;     1
CZ     ;TP-IN-CDB02;130058;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130059;2019-07-09 10:15;     1
CZ     ;TP-IN-CDB02;130060;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130061;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130062;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130063;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130064;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130065;2021-02-26 14:28;     1
CZ     ;TP-IN-CDB02;130066;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130067;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130068;2021-02-26 14:51;     1
CZ     ;TP-IN-CDB02;130069;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130070;2021-02-26 14:38;     1
CZ     ;TP-IN-CDB02;130071;2021-02-26 14:38;     1
CZ     ;TP-IN-CDB02;130072;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130073;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130074;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130075;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130076;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130077;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130078;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130079;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130080;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130081;2021-02-26 14:35;     1
CZ     ;TP-IN-CDB02;130082;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130083;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130086;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130087;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130088;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130089;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130090;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130091;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130092;2021-02-26 14:31;     1
CZ     ;TP-IN-CDB02;130093;2021-02-26 14:44;     1
CZ     ;TP-IN-CDB02;130094;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130095;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130096;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130097;2021-02-26 14:38;     1
CZ     ;TP-IN-CDB02;130098;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130099;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130100;2021-02-26 14:54;     1
CZ     ;TP-IN-CDB02;130101;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130102;2021-02-26 14:37;     1
CZ     ;TP-IN-CDB02;130103;2021-02-26 14:53;     1
CZ     ;TP-IN-CDB02;130104;2021-02-26 14:53;     1
CZ     ;TP-IN-CDB02;130105;2021-02-26 14:52;     1
CZ     ;TP-IN-CDB02;130106;2021-02-26 14:51;     1
CZ     ;TP-IN-CDB02;130107;2021-02-26 14:53;     1
CZ     ;TP-IN-CDB02;130108;2021-02-26 14:53;     1
CZ     ;TP-IN-CDB02;130109;2021-02-26 14:28;     1
CZ     ;TP-IN-CDB02;130110;2021-02-26 14:26;     1
CZ     ;TP-IN-CDB02;-IN-CD;NULL            ;     1

(238 rows affected)
