country;DB         ;Store ;Last replication;Status
-------;-----------;------;----------------;------
HR     ;TP-IN-CDB01;160001;2021-03-02 19:16;     1
HR     ;TP-IN-CDB01;160002;2021-03-02 19:28;     1
HR     ;TP-IN-CDB01;160003;2021-03-02 19:24;     1
HR     ;TP-IN-CDB01;160004;2021-03-02 19:24;     1
HR     ;TP-IN-CDB01;160005;2021-03-02 19:26;     1
HR     ;TP-IN-CDB01;160006;2021-03-02 19:24;     1
HR     ;TP-IN-CDB01;160007;2021-03-02 19:25;     1
HR     ;TP-IN-CDB01;160008;2021-03-02 19:25;     1
HR     ;TP-IN-CDB01;160009;2021-03-02 19:25;     1
HR     ;TP-IN-CDB01;160010;2021-03-02 19:26;     1
HR     ;TP-IN-CDB01;160011;2021-03-02 19:25;     1
HR     ;TP-IN-CDB01;160012;2021-03-02 19:24;     1
HR     ;TP-IN-CDB01;160013;2021-03-02 19:28;     1
HR     ;TP-IN-CDB01;160014;2021-03-02 19:25;     1
HR     ;TP-IN-CDB01;160015;2021-03-02 19:24;     1
HR     ;TP-IN-CDB01;160016;2021-03-02 19:24;     1
HR     ;TP-IN-CDB01;160017;2021-03-02 19:24;     1
HR     ;TP-IN-CDB01;160018;2021-03-02 19:25;     1
HR     ;TP-IN-CDB01;160019;2021-03-02 19:24;     1
HR     ;TP-IN-CDB01;160020;2021-03-02 19:24;     1
HR     ;TP-IN-CDB01;160021;2021-03-02 19:24;     1
HR     ;TP-IN-CDB01;160022;2021-03-02 19:21;     1
HR     ;TP-IN-CDB01;160023;2021-03-02 19:35;     1
HR     ;TP-IN-CDB01;160025;2021-03-02 19:20;     1
HR     ;TP-IN-CDB01;160026;2021-03-02 19:24;     1
HR     ;TP-IN-CDB01;160027;2021-03-02 19:24;     1
HR     ;TP-IN-CDB01;160028;2021-03-02 19:21;     1
HR     ;TP-IN-CDB01;160030;2021-03-02 19:27;     1
HR     ;TP-IN-CDB01;160032;2021-03-02 19:37;     1
HR     ;TP-IN-CDB01;160033;2021-03-02 19:25;     1
HR     ;TP-IN-CDB01;160034;2021-03-02 19:25;     1
