country;DB         ;Store ;Last replication;Status
-------;-----------;------;----------------;------
HU     ;TP-IN-CDB01;003501;2021-02-26 14:40;     1
HU     ;TP-IN-CDB01;003502;2021-02-26 14:32;     1
HU     ;TP-IN-CDB01;003503;2021-02-26 14:32;     1
HU     ;TP-IN-CDB01;003504;2021-02-26 14:28;     1
HU     ;TP-IN-CDB01;003505;2021-02-26 14:27;     1
HU     ;TP-IN-CDB01;003506;2021-02-26 14:26;     1
HU     ;TP-IN-CDB01;003507;2021-02-26 14:28;     1
HU     ;TP-IN-CDB01;003508;2021-02-26 14:28;     1
HU     ;TP-IN-CDB01;003509;2021-02-26 14:29;     1
HU     ;TP-IN-CDB01;003510;2021-02-26 14:40;     1
HU     ;TP-IN-CDB01;003511;2021-02-26 14:27;     1
HU     ;TP-IN-CDB01;003512;2021-02-26 14:32;     1
HU     ;TP-IN-CDB01;003513;2021-02-26 14:29;     1
HU     ;TP-IN-CDB01;003514;2021-02-26 14:28;     1
HU     ;TP-IN-CDB01;003515;2021-02-26 14:42;     1
HU     ;TP-IN-CDB01;003516;2021-02-26 14:27;     1
HU     ;TP-IN-CDB01;003517;2021-02-26 14:29;     1
HU     ;TP-IN-CDB01;003518;2021-02-26 14:34;     1
HU     ;TP-IN-CDB01;003519;2021-02-26 14:31;     1
HU     ;TP-IN-CDB01;003520;2021-02-26 14:30;     1
HU     ;TP-IN-CDB01;003521;2021-02-26 14:29;     1
HU     ;TP-IN-CDB01;003522;2021-02-26 14:25;     1
HU     ;TP-IN-CDB01;003523;2021-02-26 14:30;     1
HU     ;TP-IN-CDB01;003524;2021-02-26 14:30;     1
HU     ;TP-IN-CDB01;003525;2021-02-26 14:30;     1
HU     ;TP-IN-CDB01;003526;2021-02-26 14:53;     1
HU     ;TP-IN-CDB01;003527;2021-02-26 14:31;     1
HU     ;TP-IN-CDB01;003528;2021-02-26 14:29;     1
HU     ;TP-IN-CDB01;003529;2021-02-26 14:31;     1
HU     ;TP-IN-CDB01;003530;2021-02-26 14:29;     1
HU     ;TP-IN-CDB01;003531;2021-02-26 14:32;     1
HU     ;TP-IN-CDB01;003532;2021-02-26 14:31;     1
HU     ;TP-IN-CDB01;003533;2021-02-26 14:31;     1
HU     ;TP-IN-CDB01;003534;2021-02-26 14:32;     1
HU     ;TP-IN-CDB01;003535;2021-02-26 14:32;     1
HU     ;TP-IN-CDB01;003536;2021-02-26 14:32;     1
HU     ;TP-IN-CDB01;003537;2021-02-26 14:33;     1
HU     ;TP-IN-CDB01;003538;2021-02-26 14:33;     1
HU     ;TP-IN-CDB01;003539;2021-02-26 14:49;     1
HU     ;TP-IN-CDB01;003540;2021-02-26 14:33;     1
HU     ;TP-IN-CDB01;003541;2021-02-26 14:33;     1
HU     ;TP-IN-CDB01;003542;2021-02-26 14:33;     1
HU     ;TP-IN-CDB01;003543;2021-02-26 14:34;     1
HU     ;TP-IN-CDB01;003544;2021-02-26 14:44;     1
HU     ;TP-IN-CDB01;003545;2021-02-26 14:34;     1
HU     ;TP-IN-CDB01;003546;2021-02-26 14:34;     1
HU     ;TP-IN-CDB01;003547;2021-02-26 14:49;     1
HU     ;TP-IN-CDB01;003548;2021-02-26 14:35;     1
HU     ;TP-IN-CDB01;003549;2021-02-26 14:45;     1
HU     ;TP-IN-CDB01;003550;2021-02-26 14:35;     1
HU     ;TP-IN-CDB01;003551;2021-02-26 14:34;     1
HU     ;TP-IN-CDB01;003552;2021-02-26 14:34;     1
HU     ;TP-IN-CDB01;003553;2021-02-26 14:26;     1
HU     ;TP-IN-CDB01;003554;2021-02-26 14:36;     1
HU     ;TP-IN-CDB01;003555;2021-02-26 14:35;     1
HU     ;TP-IN-CDB01;003556;2021-02-26 14:37;     1
HU     ;TP-IN-CDB01;003557;2021-02-26 14:44;     1
HU     ;TP-IN-CDB01;003558;2021-02-26 14:47;     1
