country;DB         ;Store ;Last replication;Status
-------;-----------;------;----------------;------
IT     ;TP-IN-CDB04;220001;2021-02-26 14:53;     1
IT     ;TP-IN-CDB04;220002;2021-02-26 14:35;     1
IT     ;TP-IN-CDB04;220003;2021-02-26 14:47;     1
IT     ;TP-IN-CDB04;220004;2021-02-26 14:47;     1
IT     ;TP-IN-CDB04;220005;2021-02-26 14:34;     1
IT     ;TP-IN-CDB04;220006;2021-02-26 14:38;     1
IT     ;TP-IN-CDB04;220007;2021-02-26 14:50;     1
IT     ;TP-IN-CDB04;220009;2021-02-26 14:47;     1
IT     ;TP-IN-CDB04;220010;2021-02-26 14:52;     1
IT     ;TP-IN-CDB04;220011;2021-02-26 14:52;     1
IT     ;TP-IN-CDB04;-IN-CD;NULL            ;     1

(11 rows affected)
