country;DB         ;Store ;Last replication;Status
-------;-----------;------;----------------;------
LV     ;TP-IN-CDB03;190001;2021-02-26 14:48;     1
LV     ;TP-IN-CDB03;190002;2021-02-26 14:49;     1
LV     ;TP-IN-CDB03;190003;2021-02-26 14:48;     1
LV     ;TP-IN-CDB03;190004;2021-02-26 14:48;     1
LV     ;TP-IN-CDB03;190005;2021-02-26 14:50;     1
LV     ;TP-IN-CDB03;190006;2021-02-26 14:49;     1
LV     ;TP-IN-CDB03;190007;2021-02-22 12:20;     1
LV     ;TP-IN-CDB03;190008;2021-02-04 09:50;     1
LV     ;TP-IN-CDB03;190009;2021-02-26 14:38;     1
LV     ;TP-IN-CDB03;190010;2021-02-26 14:50;     1
LV     ;TP-IN-CDB03;190011;2021-02-26 14:38;     1
LV     ;TP-IN-CDB03;190012;2021-02-26 14:50;     1
LV     ;TP-IN-CDB03;190013;2021-02-26 14:50;     1
LV     ;TP-IN-CDB03;190014;2021-02-09 00:51;     1
LV     ;TP-IN-CDB03;190015;2021-02-26 14:50;     1
LV     ;TP-IN-CDB03;190016;2021-02-26 14:51;     1
LV     ;TP-IN-CDB03;190017;2021-02-26 14:50;     1
LV     ;TP-IN-CDB03;190018;2021-02-26 14:50;     1
LV     ;TP-IN-CDB03;190019;2021-02-26 14:35;     1
LV     ;TP-IN-CDB03;190020;2021-02-26 14:50;     1
LV     ;TP-IN-CDB03;190021;2021-01-12 22:55;     1
LV     ;TP-IN-CDB03;190022;2021-02-26 14:50;     1
LV     ;TP-IN-CDB03;190023;2021-02-26 14:51;     1
LV     ;TP-IN-CDB03;190024;2021-02-26 14:48;     1
LV     ;TP-IN-CDB03;190025;2021-02-26 14:26;     1
LV     ;TP-IN-CDB03;190026;2021-02-26 14:35;     1
LV     ;TP-IN-CDB03;190027;2021-01-26 07:26;     1
LV     ;TP-IN-CDB03;190028;2021-02-26 14:25;     1
LV     ;TP-IN-CDB03;190029;2021-02-26 14:53;     1
LV     ;TP-IN-CDB03;190030;2021-02-26 14:37;     1
LV     ;TP-IN-CDB03;190031;2021-02-26 14:24;     1
LV     ;TP-IN-CDB03;190032;2021-02-26 14:35;     1
LV     ;TP-IN-CDB03;190033;2021-01-09 00:57;     1
LV     ;TP-IN-CDB03;190034;2021-01-29 21:53;     1
LV     ;TP-IN-CDB03;190035;2021-02-26 14:34;     1
LV     ;TP-IN-CDB03;190036;2021-02-26 14:33;     1
LV     ;TP-IN-CDB03;190037;2021-02-03 07:30;     1
LV     ;TP-IN-CDB03;-IN-CD;NULL            ;     1

(38 rows affected)
