country;DB         ;Store ;Last replication;Status
-------;-----------;------;----------------;------
SI     ;TP-IN-CDB02;170001;2021-02-26 14:37;     1
SI     ;TP-IN-CDB02;170002;2021-02-26 14:31;     1
SI     ;TP-IN-CDB02;170003;2021-02-26 14:28;     1
SI     ;TP-IN-CDB02;170004;2021-02-26 14:28;     1
SI     ;TP-IN-CDB02;170005;2021-02-26 14:28;     1
SI     ;TP-IN-CDB02;170006;2021-02-26 14:44;     1
SI     ;TP-IN-CDB02;170007;2021-02-26 14:45;     1
SI     ;TP-IN-CDB02;170008;2021-02-26 14:44;     1
SI     ;TP-IN-CDB02;170009;2021-02-26 14:44;     1
SI     ;TP-IN-CDB02;170010;2021-02-26 14:44;     1
SI     ;TP-IN-CDB02;170011;2021-02-26 14:29;     1
SI     ;TP-IN-CDB02;170012;2021-02-26 14:34;     1
SI     ;TP-IN-CDB02;170013;2021-02-26 14:32;     1
SI     ;TP-IN-CDB02;170014;2021-02-26 14:31;     1
SI     ;TP-IN-CDB02;170015;2021-02-26 14:46;     1
SI     ;TP-IN-CDB02;170016;2021-02-26 14:46;     1
SI     ;TP-IN-CDB02;170017;2021-02-26 14:34;     1
SI     ;TP-IN-CDB02;170018;2021-02-26 14:43;     1
SI     ;TP-IN-CDB02;170019;2021-02-26 14:46;     1
SI     ;TP-IN-CDB02;170020;2021-02-26 14:35;     1
SI     ;TP-IN-CDB02;170021;2021-02-26 14:40;     1
SI     ;TP-IN-CDB02;170022;2021-02-26 14:30;     1
SI     ;TP-IN-CDB02;170023;2021-02-26 14:51;     1
SI     ;TP-IN-CDB02;170025;2021-02-25 22:41;     1
SI     ;TP-IN-CDB02;170026;2021-02-26 14:38;     1
SI     ;TP-IN-CDB02;170027;2021-02-26 14:39;     1
SI     ;TP-IN-CDB02;170028;2021-02-26 14:41;     1
SI     ;TP-IN-CDB02;170029;2021-02-26 14:45;     1
SI     ;TP-IN-CDB02;170030;2021-02-26 14:41;     1
SI     ;TP-IN-CDB02;170031;2021-02-26 14:42;     1
SI     ;TP-IN-CDB02;170032;2021-02-26 14:43;     1
SI     ;TP-IN-CDB02;-IN-CD;NULL            ;     1

(32 rows affected)
