country;DB         ;Store ;Last replication;Status
-------;-----------;------;----------------;------
SK     ;TP-IN-CDB03;002001;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002002;2021-03-02 19:40;     1
SK     ;TP-IN-CDB03;002003;2021-03-02 19:12;     1
SK     ;TP-IN-CDB03;002004;2021-03-02 19:12;     1
SK     ;TP-IN-CDB03;002005;2021-03-02 19:39;     1
SK     ;TP-IN-CDB03;002006;2021-02-27 07:42;     1
SK     ;TP-IN-CDB03;002007;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002008;2021-03-02 19:38;     1
SK     ;TP-IN-CDB03;002009;2021-03-02 19:19;     1
SK     ;TP-IN-CDB03;002010;2021-03-02 19:36;     1
SK     ;TP-IN-CDB03;002011;2021-03-02 19:40;     1
SK     ;TP-IN-CDB03;002012;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002013;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002014;2021-03-02 19:12;     1
SK     ;TP-IN-CDB03;002016;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002017;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002018;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002020;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002021;2021-03-02 19:40;     1
SK     ;TP-IN-CDB03;002022;2021-03-02 19:31;     1
SK     ;TP-IN-CDB03;002023;2021-03-02 19:40;     1
SK     ;TP-IN-CDB03;002024;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002025;2021-03-02 19:40;     1
SK     ;TP-IN-CDB03;002027;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002029;2021-02-25 10:43;     1
SK     ;TP-IN-CDB03;002030;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002032;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002033;2021-03-02 19:13;     1
SK     ;TP-IN-CDB03;002034;2021-03-02 19:27;     1
SK     ;TP-IN-CDB03;002035;2021-03-02 19:12;     1
SK     ;TP-IN-CDB03;002036;2021-03-02 19:39;     1
SK     ;TP-IN-CDB03;002037;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002038;2021-03-02 19:23;     1
SK     ;TP-IN-CDB03;002039;2021-02-26 17:40;     1
SK     ;TP-IN-CDB03;002040;2021-03-02 19:12;     1
SK     ;TP-IN-CDB03;002041;2021-03-02 19:39;     1
SK     ;TP-IN-CDB03;002042;2021-03-02 19:39;     1
SK     ;TP-IN-CDB03;002043;2021-03-02 19:40;     1
SK     ;TP-IN-CDB03;002044;2021-03-02 19:40;     1
SK     ;TP-IN-CDB03;002045;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002046;2021-03-02 19:40;     1
SK     ;TP-IN-CDB03;002047;2021-03-02 19:13;     1
SK     ;TP-IN-CDB03;002048;2021-03-02 19:40;     1
SK     ;TP-IN-CDB03;002050;2021-03-02 19:11;     1
SK     ;TP-IN-CDB03;002051;2021-03-02 19:12;     1
SK     ;TP-IN-CDB03;002054;2021-03-02 19:39;     1
SK     ;TP-IN-CDB03;002055;2021-03-02 19:40;     1
SK     ;TP-IN-CDB03;002057;2021-03-02 19:27;     1
